movie,chapter,character,TO,dialog
Harry Potter and the Deathly Hallows Part 2,Shell Cottage,Luna Lovegood,Bill Weasley,It's beautiful here.
Harry Potter and the Deathly Hallows Part 2,Shell Cottage,Bill Weasley,Luna Lovegood,"It was our Aunt's. We used to come here as kids. The Order uses it now as a safe house -- what's left of us, at least."
Harry Potter and the Deathly Hallows Part 2,Shell Cottage,Luna Lovegood,Bill Weasley,Muggles think these keep evil away. But they're wrong...
Harry Potter and the Deathly Hallows Part 2,Shell Cottage,Harry Potter,Bill Weasley,I need to talk to the goblin.
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Harry Potter,Griphook,How are you?
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Griphook,Harry Potter,Alive.
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Harry Potter,Griphook,You probably don't remember --
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Harry Potter,Griphook,Yes.
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Griphook,Harry Potter,And brought me here.
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Griphook,Harry Potter,You are a very unusual wizard.
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Harry Potter,Griphook,Why did you leave Gringotts?
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Griphook,Harry Potter,Soon the Death Eaters will control it. That was unacceptable to me.
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Ron Weasley,Griphook,Then you're on our side.
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Griphook,Ron Weasley,This is a wizard's war. I take no side.
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Griphook,Harry Potter,It is impossible.
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Harry Potter,Griphook,"Alone, yes. With you, no."
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Griphook,Harry Potter,How did you come by this sword?
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Harry Potter,Griphook,It's complicated. Why did Bellatrix Lestrange think it should be in her vault at Gringotts?
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Griphook,Harry Potter,It's complicated.
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Harry Potter,Griphook,The sword presented itself to us in a moment of need. We didn't steal it.
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Griphook,Harry Potter,"There is a sword in Madam Lestrange's vault identical to this one, but it is a fake. It was placed there this past summer."
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Harry Potter,Griphook,And she never suspected?
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Griphook,Harry Potter,The replica is very convincing. Only a goblin would recognize that this is the true Sword of Gryffindor.
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Ron Weasley,Griphook,Who put it there? The fake.
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Griphook,Ron Weasley,"It was not my place to ask, nor did I desire to. There are more than a few curious things in the vaults at Gringotts."
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Harry Potter,Griphook,And in Madam Lestrange's vault as well?
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Griphook,Harry Potter,Perhaps.
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Griphook,Harry Potter,I have no interest in gold.
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Harry Potter,Griphook,Then what? The goblin twists the curl at his chin... then his eyes
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Griphook,Harry Potter,That is my price.
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Griphook,Harry Potter,"I have your word, Harry Potter, that you will give me the Sword of Gryffindor if I help you?"
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Hermione Granger,Harry Potter,"Harry, are you thinking there's a Horcrux in Bellatrix's vault?"
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Harry Potter,Hermione Granger,"She was terrified when she thought we'd been in there. She kept asking you what else we'd taken. I'd bet anything there's a Horcrux there. If we find it, we can kill it. And if we kill it, we're one step closer to killing him."
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Ron Weasley,Harry Potter,And if we find one? How're we supposed to destroy it if we've given Griphook the sword?
Harry Potter and the Deathly Hallows Part 2,Griphook's Price,Harry Potter,Ron Weasley,I'm still working on that part.
Harry Potter and the Deathly Hallows Part 2,He's After You,Fleur Delacour,Harry Potter,He's too weak.
Harry Potter and the Deathly Hallows Part 2,He's After You,Garrick Ollivander,Harry Potter,Forgive me if I don't get up.
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Garrick Ollivander,"Mr. Ollivander, I need to ask you a few questions."
Harry Potter and the Deathly Hallows Part 2,He's After You,Garrick Ollivander,Harry Potter,"Anything, m'boy, anything."
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Garrick Ollivander,"Can you identify these, sir?"
Harry Potter and the Deathly Hallows Part 2,He's After You,Garrick Ollivander,Harry Potter,Walnut and dragon heartstring. Twelve and three quarter inches. Unyielding. This belongs to Bellatrix Lestrange.
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Garrick Ollivander,And this?
Harry Potter and the Deathly Hallows Part 2,He's After You,Garrick Ollivander,Harry Potter,Hawthorn. Unicorn hair. Ten inches. Reasonably pliant. This was the wand of Draco Malfoy.
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Garrick Ollivander,Was? Isn't it still?
Harry Potter and the Deathly Hallows Part 2,He's After You,Garrick Ollivander,Harry Potter,Perhaps not -- if you won it from him. I sense its allegiance has changed.
Harry Potter and the Deathly Hallows Part 2,He's After You,Garrick Ollivander,Harry Potter,"The wand chooses the wizard, Mr. Potter. That much has always been clear to those of us who have studied wandlore."
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Garrick Ollivander,"What do you know about the Deathly Hallows, sir?"
Harry Potter and the Deathly Hallows Part 2,He's After You,Garrick Ollivander,Harry Potter,"There are rumored to be three: The Elder Wand, the Resurrection Stone and the Invisibility Cloak. It is said that to possess them all is to make oneself the Master of Death. But few truly believe such objects exist --"
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Garrick Ollivander,"But you, sir? Do you believe they exist?"
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Garrick Ollivander,You're lying. You know one exists and you told him about it. You told him about the Elder Wand and where to go looking for it.
Harry Potter and the Deathly Hallows Part 2,He's After You,Garrick Ollivander,Harry Potter,"He tortured me! Besides, I conveyed only rumors. There's no guarantee he will find it --"
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Garrick Ollivander,"He has found it, sir."
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Garrick Ollivander,"That's all, sir. We'll leave you to get some rest now."
Harry Potter and the Deathly Hallows Part 2,He's After You,Garrick Ollivander,Harry Potter,"He's after you, Mr. Potter. If it's true, what you say, that he has the Elder Wand, I'm afraid you really don't stand a chance."
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Garrick Ollivander,"Then I guess I'll just have to kill him before he finds me, sir."
Harry Potter and the Deathly Hallows Part 2,He's After You,Ron Weasley,Hermione Granger,You're sure it's hers?
Harry Potter and the Deathly Hallows Part 2,He's After You,Hermione Granger,Ron Weasley,Positive. Harry turns to the two wands on the table -- the ones he showed Ollivander -- and extends the longest to Hermione.
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Hermione Granger,I reckon you should take this then.
Harry Potter and the Deathly Hallows Part 2,He's After You,Ron Weasley,Hermione Granger,You heard Ollivander. It's Harry's now.
Harry Potter and the Deathly Hallows Part 2,He's After You,Hermione Granger,Harry Potter,But I hate that thing -- that's the wand that killed Sirius! How can I hold it and not feel...
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Hermione Granger,"If I can hold it, you can."
Harry Potter and the Deathly Hallows Part 2,He's After You,Ron Weasley,"Harry Potter, Hermione Granger","How will we know what it is when we get in there? After all, a Horcrux can be anything."
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Ron Weasley,I'll know. I can't explain. It's like...
Harry Potter and the Deathly Hallows Part 2,He's After You,Ron Weasley,Harry Potter,That's a bit scary.
Harry Potter and the Deathly Hallows Part 2,He's After You,Hermione Granger,Harry Potter,"It is, Harry. Did Dumbledore ever say anything to you, something that might explain why --"
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,"Ron Weasley, Hermione Granger",No. I just know. When one's near.
Harry Potter and the Deathly Hallows Part 2,He's After You,Fleur Delacour,Hermione Granger,"This is the closest I could find to what you described, Hermione."
Harry Potter and the Deathly Hallows Part 2,He's After You,Hermione Granger,Fleur Delacour,"It's perfect. Thank you, Fleur."
Harry Potter and the Deathly Hallows Part 2,He's After You,Bill Weasley,Harry Potter,"You're leaving, aren't you."
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Bill Weasley,In the morning.
Harry Potter and the Deathly Hallows Part 2,He's After You,Bill Weasley,Harry Potter,And Griphook?
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Bill Weasley,He'll be leaving too.
Harry Potter and the Deathly Hallows Part 2,He's After You,Bill Weasley,Harry Potter,"Listen, I don't know what you're up to, but I know goblins. If you've struck any kind of bargain with Griphook, you must be exceptionally careful to live up to it. If you don't... he won't be forgiving."
Harry Potter and the Deathly Hallows Part 2,He's After You,Luna Lovegood,Harry Potter,The sky has lost a star.
Harry Potter and the Deathly Hallows Part 2,He's After You,Luna Lovegood,Harry Potter,"My father used to say that when a child died. She looks up, smiles."
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Luna Lovegood,"Yeah. Funny. Listen, Luna, about your father, I don't want you to think I --"
Harry Potter and the Deathly Hallows Part 2,He's After You,Luna Lovegood,Harry Potter,"I know you understand why my father did what he did, Harry. That's why we don't need to talk about it."
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Luna Lovegood,Hogwarts?
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Luna Lovegood,"It's not the place you left, you"
Harry Potter and the Deathly Hallows Part 2,He's After You,Luna Lovegood,Harry Potter,Neither am I.
Harry Potter and the Deathly Hallows Part 2,He's After You,Ron Weasley,Harry Potter,Always good value. I'll miss her.
Harry Potter and the Deathly Hallows Part 2,He's After You,Ron Weasley,Harry Potter,What d'you think?
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Ron Weasley,Wouldn't know you if I didn't know you.
Harry Potter and the Deathly Hallows Part 2,He's After You,Ron Weasley,Harry Potter,You want to tell me what that is?
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Ron Weasley,"Sirius gave it to me. He had a matching piece. He said if I ever needed him, all I had to do was look into it."
Harry Potter and the Deathly Hallows Part 2,He's After You,Ron Weasley,Harry Potter,You mean he could see you?
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Ron Weasley,Something like that. I don't know. He died before I ever got to use it. The thing is...
Harry Potter and the Deathly Hallows Part 2,He's After You,Ron Weasley,Harry Potter,Go on.
Harry Potter and the Deathly Hallows Part 2,He's After You,Harry Potter,Ron Weasley,"You'll think I'm mental, but more than once, when I've looked into it -- I think I've seen Dumbledore."
Harry Potter and the Deathly Hallows Part 2,He's After You,Ron Weasley,Harry Potter,Bloody hell... that's a sight.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bellatrix Lestrange,"Ron Weasley, Harry Potter","Well, how do I look?"
Harry Potter and the Deathly Hallows Part 2,Gringotts,Ron Weasley,Hermione Granger,Hideous.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bellatrix Lestrange,"Ron Weasley, Harry Potter","Oh dear, I missed a spot, didn't I? Hold still..."
Harry Potter and the Deathly Hallows Part 2,Gringotts,Ron Weasley,"Harry Potter, Hermione Granger","Couldn't do anything about that bit in the back that's always flipping up, could you? Dead annoying --"
Harry Potter and the Deathly Hallows Part 2,Gringotts,Ron Weasley,Harry Potter,"Never mind. I'm good.  That is you in there, isn't it?"
Harry Potter and the Deathly Hallows Part 2,Gringotts,Harry Potter,Griphook,"You can give that to Hermione to hold, all right, Griphook?"
Harry Potter and the Deathly Hallows Part 2,Gringotts,Goblin,Hermione Granger,Madam Lestrange.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Griphook,Hermione Granger,"Good morning? Good morning? You're Bellatrix Lestrange, not some dewy-eyed schoolgirl!"
Harry Potter and the Deathly Hallows Part 2,Gringotts,Ron Weasley,Griphook,Hey. Easy.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Griphook,Ron Weasley,She gives us away and we might as well use that sword to slit our own throats. Understand?
Harry Potter and the Deathly Hallows Part 2,Gringotts,Hermione Granger,Ron Weasley,He's right. I was being stupid.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Harry Potter,Hermione Granger,C'mon. Let's do it.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Goblin,Hermione Granger,Identification.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bellatrix Lestrange,Goblin,I wish to enter my vault.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Goblin,Hermione Granger,"I see. Very well. Excuse me, won't you?"
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bellatrix Lestrange,Goblin,I don't like to be kept waiting.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Goblin,Hermione Granger,Next.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bellatrix Lestrange,Goblin,He's with me.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Griphook,"Harry Potter,  Ron Weasley",They know!
Harry Potter and the Deathly Hallows Part 2,Gringotts,Ron Weasley,Griphook,What do you mean?
Harry Potter and the Deathly Hallows Part 2,Gringotts,Griphook,"Harry Potter, Ron Weasley",They know she's an imposter! They've been warned!
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bogrod,Hermione Granger,Madam Lestrange. Would you mind presenting your wand?
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bellatrix Lestrange,Bogrod,And why should I do that?
Harry Potter and the Deathly Hallows Part 2,Gringotts,Ron Weasley,Harry Potter,"Harry, what do we do? Harry...?"
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bogrod,Hermione Granger,"It's the bank's policy. I'm sure you understand, given the current climate --"
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bellatrix Lestrange,Bogrod,"No, I most certainly do not understand --"
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bogrod,Hermione Granger,I'm afraid I must insist.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Harry Potter,Bogrod,Imperio.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bogrod,Hermione Granger,"Very well, Madam Lestrange. If you will follow me."
Harry Potter and the Deathly Hallows Part 2,Gringotts,Goblin,Bogrod,"But... Bogrod, there have been special instructions regarding the Lestrange vault."
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bogrod,Goblin,I'm fully aware of that. I'm also aware the Lestranges are one of our oldest and most respected families.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Goblin,Bogrod,"Yes, sir, but our instructions are very specific --"
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bogrod,Goblin,"Let me be specific with you, Ricbert. I've run this bank for forty-five years, long before anyone had even heard of a Death Eater. The day may come that they feel they can run this place better than me, but that day has not yet arrived. Am I understood!"
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bogrod,Hermione Granger,"Madam, if you will, I will escort you myself."
Harry Potter and the Deathly Hallows Part 2,Gringotts,Harry Potter,Griphook,How long before they come after us?
Harry Potter and the Deathly Hallows Part 2,Gringotts,Ron Weasley,Griphook,What's that? Up ahead.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Griphook,"Harry Potter, Ron Weasley, Hermione Granger",I should have known --
Harry Potter and the Deathly Hallows Part 2,Gringotts,Harry Potter,Griphook,"What is that, Griphook?"
Harry Potter and the Deathly Hallows Part 2,Gringotts,Harry Potter,Griphook,Griphook! What is that!
Harry Potter and the Deathly Hallows Part 2,Gringotts,Harry Potter,,Well done. Hey.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Griphook,"Harry Potter, Ron Weasley, Hermione Granger",The Thief's Downfall. Washes away all enchantments. Can be deadly.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Ron Weasley,Griphook,You don't say.  Just out of interest... is there any other way out of here?
Harry Potter and the Deathly Hallows Part 2,Gringotts,Griphook,Ron Weasley,No.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bogrod,"Harry Potter, Ron Weasley, Hermione Granger, Griphook",What the devil are you all doing down here!
Harry Potter and the Deathly Hallows Part 2,Gringotts,Griphook,Harry Potter,We need him!
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bogrod,Griphook,"Is this your doing, Griphook? You have no rights here anymore. When you gave up your keys, you --"
Harry Potter and the Deathly Hallows Part 2,Gringotts,Ron Weasley,Bogrod,Imperio!
Harry Potter and the Deathly Hallows Part 2,Gringotts,Griphook,Ron Weasley,Well done.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Ron Weasley,"Harry Potter, Hermione Granger",No. It's not possible...
Harry Potter and the Deathly Hallows Part 2,Gringotts,Ron Weasley,"Harry Potter, Hermione Granger",Bloody hell. That's a Welsh Green.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Hermione Granger,"Ron Weasley, Harry Potter",It looks like it's been down here forever.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Griphook,"Harry Potter, Ron Weasley, Hermione Granger",Go on.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Ron Weasley,"Harry Potter, Hermione Granger",It's been trained to expect pain when it hears the noise.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Hermione Granger,Ron Weasley,That's barbaric. I...
Harry Potter and the Deathly Hallows Part 2,Gringotts,Griphook,Harry Potter,We'll only have a few seconds. In other words... they'll be no do-
Harry Potter and the Deathly Hallows Part 2,Gringotts,Griphook,Bogrod ,"Ready, Bogrod?"
Harry Potter and the Deathly Hallows Part 2,Gringotts,Bogrod,Griphook,Hm? Oh. Yes. Of course.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Harry Potter,,Lumos !
Harry Potter and the Deathly Hallows Part 2,Gringotts,Ron Weasley,,Lumos !
Harry Potter and the Deathly Hallows Part 2,Gringotts,Hermione Granger,,Lumos !
Harry Potter and the Deathly Hallows Part 2,Gringotts,Ron Weasley,"Harry Potter, Hermione Granger",Blimey...
Harry Potter and the Deathly Hallows Part 2,Gringotts,Hermione Granger,"Harry Potter, Ron Weasley",Look.
Harry Potter and the Deathly Hallows Part 2,Gringotts,Hermione Granger,"Harry Potter, Ron Weasley",No wonder Bellatrix thought it was real.
Harry Potter and the Deathly Hallows Part 2,Copping the Cup,Ron Weasley,Harry Potter,"Is it here, Harry? Can you feel anything?"
Harry Potter and the Deathly Hallows Part 2,Copping the Cup,Hermione Granger,"Harry Potter, Ron Weasley","It's hot! All eyes turn to the bowl, WOBBLING MADLY on the floor, when... it SPLITS APART and begins to MULTIPLY."
Harry Potter and the Deathly Hallows Part 2,Copping the Cup,Hermione Granger,Ron Weasley,"Ron, your foot!"
Harry Potter and the Deathly Hallows Part 2,Copping the Cup,Griphook,Harry Potter,We'll be crushed! Hurry!
Harry Potter and the Deathly Hallows Part 2,Copping the Cup,Harry Potter,Hermione Granger,That's it. Up there.
Harry Potter and the Deathly Hallows Part 2,Copping the Cup,Hermione Granger,Harry Potter,How're we going to reach it?
Harry Potter and the Deathly Hallows Part 2,Copping the Cup,Harry Potter,Hermione Granger,Give me the sword! The real one.
Harry Potter and the Deathly Hallows Part 2,Copping the Cup,Ron Weasley,Harry Potter,Keep going!
Harry Potter and the Deathly Hallows Part 2,Copping the Cup,Hermione Granger,Harry Potter,Harry! Behind you!
Harry Potter and the Deathly Hallows Part 2,Copping the Cup,Ron Weasley,"Harry Potter, Hermione Granger",The cup!
Harry Potter and the Deathly Hallows Part 2,Copping the Cup,Hermione Granger,Ron Weasley,In here!
Harry Potter and the Deathly Hallows Part 2,Copping the Cup,Harry Potter,Griphook,"We have a deal, Griphook."
Harry Potter and the Deathly Hallows Part 2,Copping the Cup,Griphook,Harry Potter,I said I'd get you in. I never said anything about getting you out.
Harry Potter and the Deathly Hallows Part 2,Copping the Cup,Harry Potter,Griphook,Griphook! Griphook!
Harry Potter and the Deathly Hallows Part 2,Copping the Cup,Griphook,,Thieves! Help! Thieves!
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Ron Weasley,"Harry Potter, Hermione Granger",Foul little git. Least we've got Bogrod.
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Ron Weasley,"Harry Potter, Hermione Granger",That's unfortunate.
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Hermione Granger,"Harry Potter, Ron Weasley",We can't just stand here! Who's got an idea?
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Ron Weasley,Hermione Granger,You're asking us? You're the brilliant one.
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Hermione Granger,Ron Weasley,I've got something. But it's mad.
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Hermione Granger,,Relashio!
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Ron Weasley,Hermione Granger,That's your idea?
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Harry Potter,Ron Weasley,Come on!
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Hermione Granger,Harry Potter,It doesn't realize it's free!
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Ron Weasley,Hermione Granger,That was brilliant! BRILLIANT!
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Ron Weasley,"Hermione Granger, Harry Potter",Bloody hell.
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Harry Potter,"Hermione Granger, Ron Weasley",We're dropping!
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Ron Weasley,"Harry Potter, Hermione Granger",I say we jump!
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Hermione Granger,Ron Weasley,When?
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Voldemort,Nagini,"The boy has discovered our secret, Nagini. We must find out just how much he knows. We must return to our hiding places and see if the others are safe."
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Harry Potter,"Hermione Granger, Ron Weasley",He knows.
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Hermione Granger,Harry Potter,How is it you --
