movie,chapter,character,TO,dialog
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Harry Potter,Hermione Granger,I saw him.
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Hermione Granger,Harry Potter,"You let him in! Harry, you can't --"
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Harry Potter,Hermione Granger,"I can't always help it, Hermione!"
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Ron Weasley,Harry Potter,Never mind! What did you see?
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Harry Potter,Ron Weasley,He's angry. But he's scared too. He's going to make sure the other Horcruxes are safe.
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Ron Weasley,Harry Potter,What happens when he finds out four are gone?
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Harry Potter,"Hermione Granger, Ron Weasley",I reckon he'll do anything to stop us from finding the rest. There's more: one of them's at Hogwarts.
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Hermione Granger,"Harry Potter, Ron Weasley",What?
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Ron Weasley,"Harry Potter, Hermione Granger",What?
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Hermione Granger,Harry Potter,You saw it?
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Hermione Granger,"Harry Potter, Ron Weasley",Tonight? But we have to plan. We have to figure out what --
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Harry Potter,Hermione Granger,"Honestly, Hermione, when have any of our plans actually worked? We plan, we get there and all hell breaks loose."
Harry Potter and the Deathly Hallows Part 2,Exit the Dragon,Ron Weasley,"Hermione Granger, Harry Potter",'Fraid he's right. One problem: Snape's Headmaster now. We can't just walk in the front door.
Harry Potter and the Deathly Hallows Part 2,Final Hiding Place,Harry Potter,"Hermione Granger, Ron Weasley",We'll go to Hogsmeade. To Honeydukes. Take the secret passage in the cellar.
Harry Potter and the Deathly Hallows Part 2,Final Hiding Place,Harry Potter,"Hermione Granger, Ron Weasley","There's something wrong with him. In the past, I could always follow his thoughts. Now everything feels disconnected."
Harry Potter and the Deathly Hallows Part 2,Final Hiding Place,Ron Weasley,Harry Potter,Maybe it's because of the Horcruxes. Maybe he's growing weaker. Maybe he's dying.
Harry Potter and the Deathly Hallows Part 2,Final Hiding Place,Harry Potter,Ron Weasley,"No. It's more like he's wounded. If anything, he feels more"
Harry Potter and the Deathly Hallows Part 2,Final Hiding Place,Hermione Granger,"Harry Potter, Ron Weasley",They were ready for us.
Harry Potter and the Deathly Hallows Part 2,Final Hiding Place,Death Eater,Harry Potter,"We know you're here, Potter. There's no getting away."
Harry Potter and the Deathly Hallows Part 2,Final Hiding Place,Death Eater,Harry Potter,Perhaps you need some convincing.
Harry Potter and the Deathly Hallows Part 2,Final Hiding Place,Ron Weasley,Harry Potter,What's he mean by that?
Harry Potter and the Deathly Hallows Part 2,Final Hiding Place,Hermione Granger,Harry Potter,"No, you'll give us away."
Harry Potter and the Deathly Hallows Part 2,Final Hiding Place,Harry Potter,,Expecto Patronum!
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,Harry Potter,"In here, Potter."
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Ron Weasley,"Harry Potter, Hermione Granger",Did you get a look at him! Fora second I thought it was --
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Hermione Granger,Ron Weasley,I know.
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Hermione Granger,Harry Potter,Harry! I can see you! In here!
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,"Harry Potter, Hermione Granger, Ron Weasley",You bloody fools! What were you thinking coming here? Do you have any idea how dangerous it is --
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Harry Potter,Aberforth Dumbledore,You're Aberforth.
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Harry Potter,Aberforth Dumbledore,Dumbledore's brother. It's you I've been seeing -- here. It's
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,Harry Potter,Where've you left him?
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Harry Potter,Aberforth Dumbledore,He's dead.
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,Harry Potter,Sorry to hear it. I liked that elf.
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,Harry Potter,"Mundungus Fletcher, 'bout a year ago."
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Harry Potter,Aberforth Dumbledore,Dung had no right selling you that. It belonged to --
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,Harry Potter,Sirius. Albus told me. He also told me that you'd likely be hacked off if you ever found out I had it. But ask yourself where you'd be if I didn't.
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,"Harry Potter, Hermione Granger, Ron Weasley","Right then. Reckon you're hungry. Let's get you fed, then think of the best way to get you out of here."
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Hermione Granger,Aberforth Dumbledore,Do you hear much from the others? From the Order?
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,Hermione Granger,The Order is finished. You-Know- Who's won. Anyone who says otherwise is kidding themselves.
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Harry Potter,Aberforth Dumbledore,We need to get into Hogwarts. Dumbledore gave us a job to do.
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,Harry Potter,Did he now? Nice job? Easy?
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Harry Potter,Aberforth Dumbledore,We've been hunting Horcruxes. We think the last one's in the school. But we'll need your help getting in.
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Harry Potter,Aberforth Dumbledore,"If we can find it and kill it, then we kill him, and then we can end this war once and for all. We need to get into Hogwarts tonight."
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,Harry Potter,"It's not a job my brother's given you, it's a suicide mission. Do yourself a favor boy. Go home. Live a little longer."
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Harry Potter,Aberforth Dumbledore,"Dumbledore trusted me, to see this through."
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Harry Potter,Aberforth Dumbledore,Why should he...
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,Harry Potter,Keep secrets? You tell me.
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Harry Potter,Aberforth Dumbledore,I only care about the Dumbledore I knew. I trusted him.
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,Harry Potter,Did you now? And why is that?
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Harry Potter,Aberforth Dumbledore,I had no reason not to ??
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,Harry Potter,"That's a boy's answer. A boy who goes chasing Horcruxes on the word of a man who won't even tell him where to start. You're lying. Not just to me, which doesn't matter, but to yourself as well. That's what a fool does."
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Harry Potter,Aberforth Dumbledore,You're drunk.
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,Harry Potter,"You don't strike me as a fool, Mr. Potter. So I'll ask you again. There must be a reason. Why do you trust anything my brother ever said to you? Why?"
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,Ariana Dumbledore,You know what to do...
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Harry Potter,Aberforth Dumbledore,Where've you sent her?
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,Harry Potter,You'll see soon enough.
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Hermione Granger,Aberforth Dumbledore,"That's Ariana, isn't it? Your sister. She's beautiful."
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,Hermione Granger,She'll always be beautiful.
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Hermione Granger,Aberforth Dumbledore,"She died very young, didn't she."
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Aberforth Dumbledore,Harry Potter,"My brother sacrificed many things, Mr. Potter, in his journey to find power, including her. She was devoted to him -- he gave her everything, but time."
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Hermione Granger,Aberforth Dumbledore,Mr. Dumbledore... thank you.
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Hermione Granger,Aberforth Dumbledore,"Did save our lives twice. Kept an eye on us in that mirror. That doesn't seem like someone who's given up, does it?"
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Hermione Granger,"Harry Potter, Ron Weasley",She's coming back! And she's got someone with her!
Harry Potter and the Deathly Hallows Part 2,Aberforth Dumbledore,Ron Weasley,Hermione Granger,Who's that with her? Bloody hell...
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Neville Longbottom,Harry Potter,I knew you'd come! I told them alii! Harry Potter would never abandon Hogwarts!
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Harry Potter,Neville Longbottom ,"Neville, you look..."
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Neville Longbottom,Harry Potter,Like hell? I reckon. This is nothing. Seamus is worse. You'll see. Hermione! Ron!
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Neville Longbottom,Aberforth Dumbledore,"Hey, Ab. There might be a couple more people on the way."
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Neville Longbottom,Ron Weasley,Well? Ready?
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Ron Weasley,Neville Longbottom ,I don't remember this being on the Marauder's Map.
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Neville Longbottom,Ron Weasley,That's because it never existed till now. The seven secret passages were sealed off before the start of the year. This is the only way in or out now. The grounds are crawling with Death Eaters and Dementors.
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Hermione Granger,Neville Longbottom ,"How bad is it, Neville? With Snape as Headmaster."
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Neville Longbottom,Harry Potter,Hardly ever see him. It's the Carrows you have to watch out for.
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Harry Potter,Neville Longbottom ,The Carrows?
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Neville Longbottom,Harry Potter,"Brother and sister. They're in charge of discipline. Like punishment, the Carrows."
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Hermione Granger,Neville Longbottom ,They did that to you? But why?
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Neville Longbottom,Hermione Granger,Today's Dark Arts lesson had us practicing the Cruciatus Curse. On First Years. I refused. Hogwarts has changed.
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Neville Longbottom,Harry Potter,"Aw, c'mon. Don't be grim. We're all used to it by now. And the thing is, it helps when people stand up, gives everyone hope. I used to notice that when you did it, Harry. C'mon, we're almost there."
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Neville Longbottom,All,"Let's have a bit of fun, shall we?  Hey! Listen up, you lot! I've brought you a surprise!"
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Seamus Finnigan,Neville Longbottom ,Blimey.
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Neville Longbottom,Seamus Finnigan,Get the word out to Remus and the others that Harry's back.
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Nigel Wolpert,,"River, DA calling. Do you read? We have a new weather report: Lightning has struck. I repeat, lightning has struck..."
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Neville Longbottom,,"Okay, okay! Stand down! lLet's not kill them before You-Know-Who gets the chance!"
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Harry Potter,All,"Okay. There's something we need to find, something hidden here in the castle. It could help us defeat You-Know-Who."
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Neville Longbottom,Harry Potter,What is it?
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Harry Potter,Neville Longbottom ,We don't know.
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Dean Thomas,Harry Potter,Where is it?
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Harry Potter,Dean Thomas,I realize it's not much to go on.
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Seamus Finnigan,Harry Potter,That's nothing to go on.
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Harry Potter,All ,"I think it might have something to do with Ravenclaw. It would be small, easy to conceal, valuable. Any ideas?"
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Luna Lovegood,Harry Potter,"Well, there's Rowena Ravenclaw's lost diadem."
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Luna Lovegood,All,The lost diadem of Ravenclaw? Hasn't anyone ever heard of it? It's quite famous.
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Cho Chang,Luna Lovegood,"Yes, but Luna, it's lost. For centuries now. There's not a person alive today who's seen it."
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Ron Weasley,Cho Chang,Excuse me. But would someone tell me: what's a bloody diadem?
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Cho Chang,Ron Weasley,"It's a kind of crown. You know, like a tiara."
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Cho Chang,Harry Potter,"Ravenclaw's was rumored to have magical properties, to enhance the wisdom of the wearer."
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Ginny Weasley,Harry Potter,Harry.
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Harry Potter,Ginny Weasley,"Hey there. Ron smiles, about to speak, then notices Ginny's eyes have not left Harry. He frowns, speaks to Hermione."
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Ron Weasley,Seamus Finnigan,"Six months she hasn't seen me and it's like I'm Frankie First Year. I mean, I'm only her brother."
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Seamus Finnigan,Ron Weasley,"Got loads of those, though, doesn't she? There's only one Harry."
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Ron Weasley,Seamus Finnigan,"Shut up, Seamus."
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Neville Longbottom,Ginny Weasley,"What is it, Ginny?"
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Ginny Weasley,All,Snape knows. He knows that Harry was spotted in Hogsmeade.
Harry Potter and the Deathly Hallows Part 2,Hogwarts Reunion,Alecto Carrow,,"Put a smile on, Miss Reynolds. Wouldn't want me to have to pay a visit to Daddy again, would you?"
Harry Potter and the Deathly Hallows Part 2,Give Me Harry Potter,Severus Snape,All,Many of you are surely wondering why I have summoned you here at this hour. It has come to my attention that earlier this evening... Harry Potter was sighted in Hogsmeade.
Harry Potter and the Deathly Hallows Part 2,Give Me Harry Potter,Severus Snape,All,I mention this in the hopes that truth will not be supplanted by
Harry Potter and the Deathly Hallows Part 2,Give Me Harry Potter,Severus Snape,All,"For myself and a few select members of the staff this comes as little surprise. We have, for some time, considered Mr. Potter's return to Hogwarts to be not only possible but inevitable. Consequently, in the past several months and under my specific direction, exhaustive defensive strategies have been employed to defeat any attempt Mr. Potter might make to breach these walls. But know this. Should anyone -- student or staff -- attempt to aid Mr. Potter, that person will be punished in a manner consistent with the severity of their transgression. Rest assured: So long as I am Headmaster at Hogwarts, Harry Potter will never again step foot in this castle."
Harry Potter and the Deathly Hallows Part 2,Give Me Harry Potter,Severus Snape,All,Now then. If anyone here has knowledge of Mr. Potter's movements this evening... I invite them to step forward now.
Harry Potter and the Deathly Hallows Part 2,Give Me Harry Potter,Harry Potter,Severus Snape,I think I can help you out with that... -.. Harry appears.
Harry Potter and the Deathly Hallows Part 2,Give Me Harry Potter,Harry Potter,Severus Snape,And I'm afraid it's rather extensive.
Harry Potter and the Deathly Hallows Part 2,Give Me Harry Potter,Harry Potter,Severus Snape,How dare you stand where he stood.
Harry Potter and the Deathly Hallows Part 2,Give Me Harry Potter,Harry Potter,Severus Snape,"Tell them how it was that night. Tell then how you looked him in the eye, a man who trusted you... and killed him. Tell them!"
Harry Potter and the Deathly Hallows Part 2,Give Me Harry Potter,Harry Potter,Severus Snape,I'm a Gryffindor.
Harry Potter and the Deathly Hallows Part 2,Give Me Harry Potter,Voldemort,All,I know that many of you will want to fight. Some of you may even think this wise. But this is foily.
Harry Potter and the Deathly Hallows Part 2,Give Me Harry Potter,Voldemort,All,I wish you no harm. TI have great respect for the students of Hogwarts. I was once one myself after all. I ask for but one thing and if granted no magical blood shail be spiit...
Harry Potter and the Deathly Hallows Part 2,Give Me Harry Potter,Voldemort,All,Give me Harry Potter. Do this and none shall be harmed. Give me Harry Potter and I shail leave Hogwarts untouched. Give me Harry Potter and you will be rewarded.
Harry Potter and the Deathly Hallows Part 2,Give Me Harry Potter,Pansy parkinson,All,But he's there! Potter's there! Someone grab him!
Harry Potter and the Deathly Hallows Part 2,Give Me Harry Potter,Argus Filch,All,Students out of bed! Students in the corridors!
Harry Potter and the Deathly Hallows Part 2,Give Me Harry Potter,Argus Filch,,"Oh. Sorry, mum."
Harry Potter and the Deathly Hallows Part 2,Give Me Harry Potter,Argus Filch,,Right away.
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Harry Potter,Minerva Mcgonagall,Time. As much as you can give me.
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Harry Potter,Minerva Mcgonagall,"Is that possible, Professor?"
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Harry Potter,Minerva Mcgonagall,I think you're right.
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Harry Potter,Minerva Mcgonagall,"You, too, Professor."
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Neville Longbottom,Filius Flitwick,"Let me get this straight, Professor. You're giving us permission to do this?"
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Neville Longbottom,Filius Flitwick,To blow it up. Boom.
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Neville Longbottom,Seamus Finnigan,Wicked.
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Seamus Finnigan,Neville Longbottom ,I can bring 'er down.
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Filius Flitwick,Pomona Sprout,"You realize, of course, that nothing we do will be able to keep out You-Know-Who indefinitely."
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Pomona Sprout,Filius Flitwick,That doesn't mean we can't hold him up.
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Professors,,Protego Maxima... Finato Duri... Repello Inimicum...
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Ron Weasley,Harry Potter,"Harry, Hermione and I have been thinking. It doesn't really matter if we find the Horcrux."
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Hermione Granger,Harry Potter,Unless we can destroy it.
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Ron Weasley,Harry Potter,So we were thinking --
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Hermione Granger,Ron Weasley,You were thinking. It's Ron's idea. And it's brilliant.
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Ron Weasley,Harry Potter,"You destroyed Tom Riddle's Diary with a Basilisk fang, right? Well, we know where we might find one, don't we?"
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Harry Potter,Hermione Granger,Okay. But take this. That way you can find me when you get back.
Harry Potter and the Deathly Hallows Part 2,Duty To Our School,Hermione Granger,Harry Potter,Where are you going?
Harry Potter and the Deathly Hallows Part 2,You Need Only Ask,Harry Potter,Hermione Granger,"Ravenclaw Common Room. Got to start somewhere. Hermione nods, slips the Map in her beaded bag and she and Ron head off. Just before they turn the corner, Ron looks back, holds Harry's glance briefly... and then is"
Harry Potter and the Deathly Hallows Part 2,You Need Only Ask,Luna Lovegood,Harry Potter,Harry! Wait! I need to talk to
Harry Potter and the Deathly Hallows Part 2,You Need Only Ask,Harry Potter,Luna Lovegood,"I'm a bit preoccupied right now, Luna."
Harry Potter and the Deathly Hallows Part 2,You Need Only Ask,Harry Potter,Luna Lovegood,"We'll talk later, Luna."
Harry Potter and the Deathly Hallows Part 2,You Need Only Ask,Luna Lovegood,Harry Potter,Harry --
Harry Potter and the Deathly Hallows Part 2,You Need Only Ask,Harry Potter,Luna Lovegood,Later.
Harry Potter and the Deathly Hallows Part 2,You Need Only Ask,Luna Lovegood,Harry Potter,Don't you remember what Cho said about Rowena Ravenclaw's diadem: 'There's not a person alive who's seen it.'
Harry Potter and the Deathly Hallows Part 2,You Need Only Ask,Luna Lovegood,Harry Potter,"It's obvious, isn't it? We have to talk to someone who's dead."
Harry Potter and the Deathly Hallows Part 2,You Need Only Ask,Luna Lovegood,Harry Potter,"He's very impressive, isn't he?"
Harry Potter and the Deathly Hallows Part 2,Blow For Blow,Voldemort,All,They never learn. Such a pity.
Harry Potter and the Deathly Hallows Part 2,Blow For Blow,Voldemort,All,Begin.
Harry Potter and the Deathly Hallows Part 2,Blow For Blow,Pius Thicknesse,Voldemort,"But, my Lord, shouldn't we wait --"
Harry Potter and the Deathly Hallows Part 2,Blow For Blow,Fred Weasley,,Nice night for it!
Harry Potter and the Deathly Hallows Part 2,Blow For Blow,Harry Potter,Luna Lovegood,"Okay, Luna. Who've you got in mind?"
Harry Potter and the Deathly Hallows Part 2,Blow For Blow,Seamus Finnigan,Neville Longbottom ,That's it. I want a charge on each and every joist.
Harry Potter and the Deathly Hallows Part 2,Blow For Blow,Neville Longbottom,Seamus Finnigan,"You do know what you're doing, don't you, Seamus?"
Harry Potter and the Deathly Hallows Part 2,Blow For Blow,Neville Longbottom,,Blimey.
Harry Potter and the Deathly Hallows Part 2,Blow For Blow,Neville Longbottom,,Not good.
Harry Potter and the Deathly Hallows Part 2,Blow For Blow,Luna Lovegood,Harry Potter,"If you're to find her, you'll find her down there."
Harry Potter and the Deathly Hallows Part 2,Blow For Blow,Luna Lovegood,Harry Potter,No. I think it best if you two talk alone. She's very shy.
