movie,chapter,character,TO,dialog
Harry Potter and the Deathly Hallows Part 2,Your Mother's Eyes,Severus Snape,Albus Dumbledore,You ask too much.
Harry Potter and the Deathly Hallows Part 2,Your Mother's Eyes,Albus Dumbledore,Severus Snape,There will come a time when Harry Potter must be told something. But you must wait until Voldemort is at his most vulnerable.
Harry Potter and the Deathly Hallows Part 2,Your Mother's Eyes,Severus Snape,Albus Dumbledore,Tell him what?
Harry Potter and the Deathly Hallows Part 2,Your Mother's Eyes,Albus Dumbledore,Severus Snape,"On the night Lord Voldemort went to Godric's Hollow to kill Harry, and Lily Potter cast herself between them, the curse rebounded. When that happened, a part of Lord Voldemort's soul latched itself onto the only living thing it could find: Harry himself."
Harry Potter and the Deathly Hallows Part 2,Your Mother's Eyes,Albus Dumbledore,Severus Snape,There's a reason Harry can speak with snakes. There's a reason he can look into Lord Voldemort's mind. A part of Lord Voldemort lives inside him.
Harry Potter and the Deathly Hallows Part 2,Your Mother's Eyes,Severus Snape,Albus Dumbledore,"So when the time comes, the boy must die."
Harry Potter and the Deathly Hallows Part 2,Your Mother's Eyes,Severus Snape,Albus Dumbledore,You've kept him alive so that he can die at the proper moment. You've been raising him like a pig for slaughter.
Harry Potter and the Deathly Hallows Part 2,Your Mother's Eyes,Albus Dumbledore,Severus Snape,"But this is touching, Severus. Don't tell me you've grown to care for the boy?"
Harry Potter and the Deathly Hallows Part 2,Your Mother's Eyes,Severus Snape,,Expecto Patronum!
Harry Potter and the Deathly Hallows Part 2,Your Mother's Eyes,Albus Dumbledore,Severus Snape,Lily. After all this time?
Harry Potter and the Deathly Hallows Part 2,Your Mother's Eyes,Severus Snape,Albus Dumbledore,Always... We GO TO BLACK...
Harry Potter and the Deathly Hallows Part 2,Your Mother's Eyes,Albus Dumbledore,Severus Snape,"The irony of course, Severus, is that -- in the end -- you and the boy desire the same thing..."
Harry Potter and the Deathly Hallows Part 2,Confront Your Fate,Hermione Granger,Harry Potter,Where've you been?
Harry Potter and the Deathly Hallows Part 2,Confront Your Fate,Ron Weasley,Harry Potter,"We thought you'd gone to the forest, we thought you might be --"
Harry Potter and the Deathly Hallows Part 2,Confront Your Fate,Harry Potter,Ron Weasley,I'm going there now.
Harry Potter and the Deathly Hallows Part 2,Confront Your Fate,Ron Weasley,Harry Potter,Are you mad! No!
Harry Potter and the Deathly Hallows Part 2,Confront Your Fate,Harry Potter,Ron Weasley,It's... meant to be.
Harry Potter and the Deathly Hallows Part 2,Confront Your Fate,Ron Weasley,Harry Potter,"Rubbish! You can't just give yourself up to him -- Hermione squeezes Ron's arm, silencing him."
Harry Potter and the Deathly Hallows Part 2,Confront Your Fate,Hermione Granger,Harry Potter,"What is it, Harry? What is it you"
Harry Potter and the Deathly Hallows Part 2,Confront Your Fate,Harry Potter,Hermione Granger,There's a reason I can... hear them -- the Horcruxes.
Harry Potter and the Deathly Hallows Part 2,Confront Your Fate,Harry Potter,Hermione Granger,I think I've known for awhile.
Harry Potter and the Deathly Hallows Part 2,Confront Your Fate,Hermione Granger,Harry Potter,I'll go with you. I/'ll --
Harry Potter and the Deathly Hallows Part 2,Confront Your Fate,Harry Potter,Neville Longbottom ,Kill the snake. Kill the snake and then it's just him. Then it will be over.
Harry Potter and the Deathly Hallows Part 2,Confront Your Fate,Oliver Wood,,I'll take him from here.
Harry Potter and the Deathly Hallows Part 2,Confront Your Fate,Ginny Weasley,,It's all right. We're going to get you inside.
Harry Potter and the Deathly Hallows Part 2,Confront Your Fate,Student,,I kept calling. No one came.
Harry Potter and the Deathly Hallows Part 2,Confront Your Fate,Ginny Weasley,,Don't worry. I won't leave you. I promise.
Harry Potter and the Deathly Hallows Part 2,I Open At the Close,Lily Potter,Harry Potter,"You've been so brave, sweetheart."
Harry Potter and the Deathly Hallows Part 2,I Open At the Close,Harry Potter,"Lily Potter, James Potter, Sirius Black, Remus Lupin",Why are you here? All of you?
Harry Potter and the Deathly Hallows Part 2,I Open At the Close,Lily Potter,Harry Potter,"We never left, dear."
Harry Potter and the Deathly Hallows Part 2,I Open At the Close,Harry Potter,Sirius Black,Does it hurt? Dying?
Harry Potter and the Deathly Hallows Part 2,I Open At the Close,Sirius Black,Harry Potter,Quicker than falling asleep.
Harry Potter and the Deathly Hallows Part 2,I Open At the Close,Remus Lupin,Harry Potter,And he will want it to be quick.
Harry Potter and the Deathly Hallows Part 2,I Open At the Close,James Potter,Harry Potter,"You're nearly there, son."
Harry Potter and the Deathly Hallows Part 2,I Open At the Close,Harry Potter,Remus Lupin,"I'm sorry. I didn't want any of you to die for me. And Remus, your son..."
Harry Potter and the Deathly Hallows Part 2,I Open At the Close,Remus Lupin,Harry Potter,Others will tell him what his mother and father died for. Someday he'll understand...
Harry Potter and the Deathly Hallows Part 2,I Open At the Close,Harry Potter,James Potter,You'll stay with me?
Harry Potter and the Deathly Hallows Part 2,I Open At the Close,James Potter,Harry Potter,Until the end.
Harry Potter and the Deathly Hallows Part 2,I Open At the Close,Harry Potter,Sirius Black,He won't be able to see you?
Harry Potter and the Deathly Hallows Part 2,I Open At the Close,Sirius Black,Harry Potter,"No. We're here, you see."
Harry Potter and the Deathly Hallows Part 2,I Open At the Close,Harry Potter,Lily Potter,Stay close to me.
Harry Potter and the Deathly Hallows Part 2,I Open At the Close,Lily Potter,Harry Potter,Always...
Harry Potter and the Deathly Hallows Part 2,The Boy Who Lived,Corban Yaxley,Voldemort,"No sign of him, my Lord."
Harry Potter and the Deathly Hallows Part 2,The Boy Who Lived,Voldemort,All,"I thought he would come. I was, it seems... mistaken."
Harry Potter and the Deathly Hallows Part 2,The Boy Who Lived,Harry Potter,Voldemort,You weren't.
Harry Potter and the Deathly Hallows Part 2,The Boy Who Lived,Corban Yaxley,,Quiet!
Harry Potter and the Deathly Hallows Part 2,The Boy Who Lived,Voldemort,Harry Potter,Harry Potter. The Boy Who Lived. Come to die. Nagini HISSES behind her protective guard of Death Eaters. Harry's gaze shifts to her when Voldemort raises
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,You cannot help.
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,"Harry. You wonderful boy. You brave, brave man. Let us walk."
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,"Sir, this, is this... I mean, forgive me, but you are dead, aren't you, sir?"
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,"Oh, yes."
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,Then... I'm dead too?
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,Not?
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,Not.
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,But I didn't defend myself. I let him kill me.
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,"It's true, isn't it, sir? A bit of him lives in me, doesn't it?"
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,Did. It was just destroyed only moments ago by none other than Voldemort himself.
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,"You were the seventh Horcrux, Harry; the Horcrux he never meant to make."
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,And you knew this? That's why you were certain I wouldn't die?
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,"Certain? No. Little is certain in this world, Harry. Call it an educated guess."
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,"Professor, is that -- ?"
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,"Exactly where are we, sir?"
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,I was going to ask you that. Where would you say that we are?
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,It looks like King's Cross station -- only a lot cleaner. And without the trains.
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,"King's Cross! Is that right? Well, this is, as they say, your party."
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,"Sir, why didn't you just tell me about the Deathly Hallows?"
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,"You will have to forgive me, Harry. You see... I didn't trust"
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,"I feared that you would make the same mistake I made, that you would be intoxicated by the power the Hallows promise their possessor. But I crave your pardon, Harry. It's clear to me now, as it should have been all along, that you are the better man."
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,Sir --
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,"You are the worthy possessor of the Hallows, Harry, not me. I was fit to own the Elder Wand, because I took it not for gain, but to save others from it. But I took the Stone because I longed to recall someone who has long been at peace and for that I paid with my life."
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,"You wanted to see Ariana again, didn't you, sir?"
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,Yes.
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,"I used the Stone as well, sir, only a little while ago when I entered the Forest. I saw my mum and dad, and Sirius and Lupin..."
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,True. But ask yourself this: were you calling them? Or were they calling you?
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,"I've got to go back, haven't I?"
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,That is up to you.
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,I've got a choice?
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,"Oh yes. We are in King's Cross, you say? I think, should you so decide, you would be able to, let's say, board a train."
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,And where would it take me?
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,On.
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,Voldemort's got the Elder Wand.
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,True.
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,And the snake lives.
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,Yes.
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,And I've nothing to kill it with.
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,'Help will always be given at Hogwarts to those who ask for it.'
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,"I have always prized my ability to turn a phrase -- words are, in my"
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,"With all due respect, sir, I think what we need here is a miracle."
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,"I've never put much stock in miracles, Harry. On the other hand, I can attest wholly to the extensive advantages of a related phenomenon."
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,"Which would be, sir?"
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,Luck.
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,"Do not pity the dead, Harry. Pity the living and, above all, those who live without love."
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,"Sir, my mother's Patronus. It was a doe, wasn't it? Just like Professor Snape's. Curious, don't you think?"
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,"Actually, if I think about it... it doesn't seem curious at all."
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,Professor.
Harry Potter and the Deathly Hallows Part 2,King's Cross,Harry Potter,Albus Dumbledore,Is this real? Or has this been happening inside my head?
Harry Potter and the Deathly Hallows Part 2,King's Cross,Albus Dumbledore,Harry Potter,"Of course it is happening inside your head, Harry. But why should that mean that it is not real?"
Harry Potter and the Deathly Hallows Part 2,King's Cross,Bellatrix Lestrange,Voldemort,"My lord, let me help you --"
Harry Potter and the Deathly Hallows Part 2,King's Cross,Voldemort,Bellatrix Lestrange,I do not require assistance.
Harry Potter and the Deathly Hallows Part 2,King's Cross,Bellatrix Lestrange,Narcissa Malfoy,The boy. Is he dead?
Harry Potter and the Deathly Hallows Part 2,King's Cross,Narcissa Malfoy,Harry Potter,Is he alive? Draco?
Harry Potter and the Deathly Hallows Part 2,King's Cross,Sorting Hat,Neville Longbottom ,"Don't despair, Longbottom. I put you in Gryffindor for good reason..."
Harry Potter and the Deathly Hallows Part 2,King's Cross,Ginny Weasley,,Who's that?
Harry Potter and the Deathly Hallows Part 2,King's Cross,Ginny Weasley,,... Hagrid's carrying?
Harry Potter and the Deathly Hallows Part 2,King's Cross,Ginny Weasley,Neville Longbottom ,"Neville, who is that?"
Harry Potter and the Deathly Hallows Part 2,King's Cross,Arthur Weasley,Neville Longbottom ,"What's going on here, Neville?"
Harry Potter and the Deathly Hallows Part 2,King's Cross,Voldemort,Nagini,"Behold, Nagini. Our work is done."
Harry Potter and the Deathly Hallows Part 2,Declare Yourself,Ginny Weasley,,No... NO!
Harry Potter and the Deathly Hallows Part 2,Declare Yourself,Voldemort,Ginny Weasley,Stupid girl. You cry for that?
Harry Potter and the Deathly Hallows Part 2,Declare Yourself,Voldemort,All,"While your hands ran dark with the blood of mothers and sons, fathers and daughters, brothers and sisters, his were clasped in prayer -- but it was a prayer for one and one only. While you battled courageously, until you could no longer will yourself to stand, he had long since fallen to his knees. While you cursed me until your voices grew ragged, he begged me for mercy in a voice as meek as a child's."
Harry Potter and the Deathly Hallows Part 2,Declare Yourself,Voldemort,All,So do not cry for that. He's not worthy of your tears. And do not despair of his betrayal. You were never in his heart. Not for one single solitary beat.
Harry Potter and the Deathly Hallows Part 2,Declare Yourself,Ron Weasley,Voldemort,Liar!
Harry Potter and the Deathly Hallows Part 2,Declare Yourself,Voldemort,All,"Did you not hear me! Harry Potter is dead! From this day forward, you put your faith in me or suffer the consequences. HARRY POTTER Is"
Harry Potter and the Deathly Hallows Part 2,Declare Yourself,Voldemort,All,Now is the time to declare yourself.
Harry Potter and the Deathly Hallows Part 2,Declare Yourself,Lucius Malfoy,Draco Malfoy,Draco...
Harry Potter and the Deathly Hallows Part 2,Declare Yourself,Lucius Malfoy,Draco Malfoy,"Draco, don't be stupid --"
Harry Potter and the Deathly Hallows Part 2,Declare Yourself,Narcissa Malfoy,Draco Malfoy,"Come, Draco."
Harry Potter and the Deathly Hallows Part 2,Declare Yourself,Ron Weasley,Draco Malfoy,He saved your life.
Harry Potter and the Deathly Hallows Part 2,Declare Yourself,Voldemort,All,"Well done, Draco. Who will be next? Hm? Come now, don't be shy."
Harry Potter and the Deathly Hallows Part 2,Not Over,Voldemort,All,"Well, I must say, I'd hoped for better. Is this truly the best Hogwarts has to offer?"
Harry Potter and the Deathly Hallows Part 2,Not Over,Voldemort,Neville Longbottom ,"Who might you be, young man?"
Harry Potter and the Deathly Hallows Part 2,Not Over,Neville Longbottom,Voldemort,Neville Longbottom.
Harry Potter and the Deathly Hallows Part 2,Not Over,Voldemort,Neville Longbottom ,"Well, welcome, Neville. I'm sure we can find a place for you in our ranks."
Harry Potter and the Deathly Hallows Part 2,Not Over,Bellatrix Lestrange,Neville Longbottom ,Someone has to do the washing.
Harry Potter and the Deathly Hallows Part 2,Not Over,Voldemort,Bellatrix Lestrange,"Now, now, Bellatrix. Let's not underestimate our young friend. By stepping forward, he lives to see another day..."
Harry Potter and the Deathly Hallows Part 2,Not Over,Neville Longbottom,Voldemort,I'd like to say something.
Harry Potter and the Deathly Hallows Part 2,Not Over,Voldemort,Neville Longbottom ,"Very well, Neville. I'm sure we'd all be fascinated to hear what you have to say."
Harry Potter and the Deathly Hallows Part 2,Not Over,Neville Longbottom,Voldemort,It doesn't matter that Harry is gone. A troubled MURMUR ripples through the crowd.
Harry Potter and the Deathly Hallows Part 2,Not Over,Neville Longbottom,Voldemort,This isn't over.
Harry Potter and the Deathly Hallows Part 2,Not Over,Draco Malfoy,Harry Potter,Potter! Harry turns. Draco's hand whips forward and -- to Harry's shock -- tosses him his wand. Ron GRINS.
Harry Potter and the Deathly Hallows Part 2,Not Over,Ron Weasley,Draco Malfoy,"Well done, Malfoy!"
Harry Potter and the Deathly Hallows Part 2,Not Over,Harry Potter,,Confringo!
Harry Potter and the Deathly Hallows Part 2,Not Over,Harry Potter,Neville Longbottom ,The snake! We've got to kill the snake!
Harry Potter and the Deathly Hallows Part 2,Not Over,Neville Longbottom,Harry Potter,Harry! Look out!
Harry Potter and the Deathly Hallows Part 2,Not Over,Voldemort,Nagini,Nagini! With me!
Harry Potter and the Deathly Hallows Part 2,Not Over,Voldemort,,Leave her!
Harry Potter and the Deathly Hallows Part 2,Not Over,Voldemort,,I said LEAVE HER!
Harry Potter and the Deathly Hallows Part 2,Not Over,Voldemort,,Nagini
Harry Potter and the Deathly Hallows Part 2,Not Over,Voldemort,,Die! Die
Harry Potter and the Deathly Hallows Part 2,Not Over,Voldemort,Harry Potter,Why do you live!
Harry Potter and the Deathly Hallows Part 2,The Wand's Choice,Harry Potter,Voldemort,Because I have something worth living for.
Harry Potter and the Deathly Hallows Part 2,The Wand's Choice,Harry Potter,,Confringo!
Harry Potter and the Deathly Hallows Part 2,The Wand's Choice,Bellatrix Lestrange,Molly Weasley,"Come on, granny, give us your best."
Harry Potter and the Deathly Hallows Part 2,The Wand's Choice,Molly Weasley,Bellatrix Lestrange,"Back off, boys! She's mine!  You will never touch my chiidren again!"
Harry Potter and the Deathly Hallows Part 2,The Wand's Choice,Bellatrix Lestrange,Molly Weasley,Be thankful we only took one. Besides...
Harry Potter and the Deathly Hallows Part 2,The Wand's Choice,Ron Weasley,Hermione Granger,Hermione!
Harry Potter and the Deathly Hallows Part 2,The Wand's Choice,Hermione Granger,Ron Weasley,Yes!
Harry Potter and the Deathly Hallows Part 2,The Wand's Choice,Hermione Granger,Ron Weasley,I don't want you to say anything you wouldn't say if we weren't about to be killed by a giant snake! It'll just ruin it!
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Harry Potter,Voldemort,You were right.
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Harry Potter,Voldemort,When you told Professor Snape it was failing you. It will always fail you.
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Voldemort,Harry Potter,It belongs to me! I killed Snape!
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Harry Potter,,Together.
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Hermione Granger,,What's the matter with her?
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Sybill Trelawney,,"There's more to me than incense and tea leaves, Mr. Finnegan."
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Harry Potter,Voldemort,I told you: it's useless to you.
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Ron Weasley,Hermione Granger,"Not exactly leaving the place better than we found it, are we?"
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Hermione Granger,Ron Weasley,Can't make an omelette without breaking a few eggs.
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Hermione Granger,Ron Weasley,Something my mum used to say.
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Hermione Granger,Harry Potter,Why didn't it work for him? The Elder wand.
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Harry Potter,Hermione Granger,Because it answers to another.
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Harry Potter,Ron Weasley,"When he killed Snape, he thought the wand would become his. But the thing is... it never belonged to Snape."
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Ron Weasley,Harry Potter,But that means...
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Harry Potter,Ron Weasley,It answers to me.
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Ron Weasley,Harry Potter,What do you reckon we should do with it?
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Hermione Granger,Ron Weasley,We?
Harry Potter and the Deathly Hallows Part 2,The Wizard's Choice,Harry Potter,"Ron Weasley, Hermione Granger","Well, it wasn't boring, was it?"
Harry Potter and the Deathly Hallows Part 2,Nineteen Years Later,Harry Potter,Albus Potter,Together?
Harry Potter and the Deathly Hallows Part 2,Nineteen Years Later,Hermione Granger,,Don't forget to give Professor Longbottom our best.
Harry Potter and the Deathly Hallows Part 2,Nineteen Years Later,Albus Potter,Harry Potter,Will there really be thestrals pulling the carriages?
Harry Potter and the Deathly Hallows Part 2,Nineteen Years Later,Harry Potter,Albus Potter,"There's nothing scary about thestrals. They're gentle things. Anyway, you won't be going up to school in the carriages. You/'be going in the boats, remember?"
Harry Potter and the Deathly Hallows Part 2,Nineteen Years Later,Albus Potter,Harry Potter,Dad?
Harry Potter and the Deathly Hallows Part 2,Nineteen Years Later,Harry Potter,Albus Potter,Yes?
Harry Potter and the Deathly Hallows Part 2,Nineteen Years Later,Albus Potter,Harry Potter,What if I'm put in Slytherin?
Harry Potter and the Deathly Hallows Part 2,Nineteen Years Later,Harry Potter,Albus Potter,Albus Severus Potter. You were named after two Headmasters of Hogwarts. One of them was a Slytherin. And he was probably the bravest man I ever knew.
Harry Potter and the Deathly Hallows Part 2,Nineteen Years Later,Albus Potter,Harry Potter,But just say I am --
Harry Potter and the Deathly Hallows Part 2,Nineteen Years Later,Harry Potter,Albus Potter,"Then Slytherin House will have gained a wonderful wizard. But listen, if it means so much to you, you can choose Gryffindor. The Sorting Hat takes your choice into account."
Harry Potter and the Deathly Hallows Part 2,Nineteen Years Later,Albus Potter,Harry Potter,Really?
Harry Potter and the Deathly Hallows Part 2,Nineteen Years Later,Harry Potter,Albus Potter,Really.
Harry Potter and the Deathly Hallows Part 2,Nineteen Years Later,Harry Potter,Albus Potter,Ready?
Harry Potter and the Deathly Hallows Part 2,Nineteen Years Later,Albus Potter,Harry Potter,Ready.
